,input,output
7052,((p∨(r∧q))((t→q)∧t))⊢(p∨((t→q)∧t)),(s∨(p∧q))((p∧s)∧s)((∨(((∧())))))
7053,((¬t)(t∧(t∨s)))⊢(¬t),(¬s)(s∧(r∧s))((¬p)∧(s→(s∧s)))(¬p)
7054,(t(q→p))⊢(q→p),q(r→p)(r∧(r→s))(r→p)
7055,(s(¬s))⊢((¬s)∧((¬s)∨s)),r(¬s)((¬s)∨s)((¬p)∧((¬p)∨s))
7056,(p(p∨t))⊢(q∨p),q(s∨r)(r∧()∨))(∨)
7057,(p((¬p)∨r))⊢(p∧(r∨p)),q((¬r)∨s)(s∨q)(q∧(q∨p))
7058,(s(s→p))⊢(s→(s∨s)),t(s→p)(t∨p)(q→(q∨q))
7059,(p(r→q))⊢(t∨(r→q)),t(s→r)(t∨(s→p))(∨(→))
7060,(r(s∨(¬r)))⊢((s∨(¬r))∨t),q(s∨(¬p))((∨((¬())∨))(((¬))
7061,((t∨(p∨p))t)⊢(t∧(t∨r)),(t∨(p∨s))s(p∨s)(s∧(p∨p))
7062,(r(s∨(¬r)))⊢((p∨r)∨t),r(s∨(¬s))(s∨p)((p∨p)∨s)
7063,((s∧t)t)⊢((s∧t)∧s),(p∧s)qt((r∧t)∧s)
7064,(((p∧t)∨r)((p→t)∨p))⊢(((p→t)∨p)→(((p∧t)∨r)∧((p→t)∨p))),((s∧q)∧))((→→r)→))→((→→r)))))→((→→r)))))→((→→r)))))→((→→r))))))()→→rr→))
7065,((t∧p)(¬t))⊢((¬t)→((¬t)∨p)),(s∧q)(¬p)((¬p)∨p)((¬p)∧((¬p)∨s))
7066,((p∧(t∨r))q)⊢(t∨q),(r∧(p∨q))s((∨∨))
7067,((r∧(p∨q))s)⊢(s∧(p∨q)),(r∧(p∨s))s(s∨r)(s∧(t∨s))
7068,(r(p→r))⊢((p→r)∧((p→r)∨p)),t(s→s)((p→p)∨s)((s→p)∧((s→s)∨t))
7069,((p→p)(q∧r))⊢((p→p)∧((p→p)∨p)),(q→r)(s→p)((p→p)∨t)((s→p)∧((s→s)∨s))
7070,((s∨s)p)⊢((s∨s)→(p∨(s∨s))),(t∨p)p(p∨(t∨p))((t∨s)∧(t∨(t∨s)))
7071,((t→(s∧q))(q∧(s→s)))⊢((t→(s∧q))→((t→(s∧q))→(q∧(s→s)))),((s∨q)∧q)(s→(r→→))→((→→r)→)))→((→→r)→)))→((→→r)→)))→((→→r)→))))))→→r→→))
7072,(((q→q)→t)r)⊢(((q→q)→t)∧r),((t→t)→q)s(((t→t)→t)∧p)
7073,(((¬r)→t)p)⊢((s∨p)∨t),((¬r)→q)s(s∨t)((q∨t)∨q)
7074,((r∨q)(¬t))⊢((r∨q)∧((r∨q)∨q)),(p∨s)(¬p)((p∨s)∨s)((s∨s)∧((p∨p)∨s))
7075,(((t∧s)∧t)q)⊢s,((s∧p)∧p)p(q∧q)p
7076,(((q∧s)→s)s)⊢s,((s∧p)→p)s(((p∧s)→p)∧s)s
7077,((t→r)(q∨s))⊢((t→r)→(q∨s)),(q→s)(p∨p)((t→p)→(r∨p))
7078,(r(t∧(p∨s)))⊢(q∨(t∧(p∨s))),p(t∧(p∨s))(r∨()((∨(s∧()∨)))
7079,(p((p∧s)∧q))⊢((p∨t)∨r),q((s∧p)∧p)(s∨p)((q∨p)∨t)
7080,(((q→p)∨p)s)⊢(q∨(s∨r)),((t→t)∨s)s(s∨s)(t∨(s∨s))
7081,(q(q→r))⊢(q∨q),q(t→s)(q∨()→))(∨)
7082,(s(r∧(¬p)))⊢(s∨(¬p)),q(s∧(¬q))(¬q)(p∨(¬p))
7083,((r∧s)(¬p))⊢((r∧s)→r),(p∧q)(¬q)q((p∧q)→q)
7084,((t→p)s)⊢((s∨q)∨q),(t→s)p(t∨s)((t∨t)∨s)
7085,((r∨s)((s∧s)→s))⊢((r∨s)∨t),(q∨p)((s→t)→t)((∨→p)∨()()))
7086,(s(t→(¬q)))⊢(s∧(r∨s)),q(s→(¬p))(s∨p)(s∧(q∨p))
7087,((s∨p)p)⊢((s∨p)→p),(p∨p)s((t∨p)→p)
7088,((t∧p)(s∨q))⊢(p∨t),(q∧p)(p∨p)((s∨q)
7089,((p∧r)((q∨t)∧t))⊢(t∨t),(q∧p)((p→t)∧t)r(q∨p)
7090,((r∨t)(r∧r))⊢((r∧r)→((r∧r)∨p)),(q→r)(s∧p)((p→p)∨t)((s→p)∧((s∧s)∨s))
7091,((s→p)r)⊢(q∨(s→p)),(q→p)p((∨→))∨))(∨(→))
7092,(((s→t)∧s)((s∨q)→s))⊢(((s∨q)→s)∨q),((t→t)∧q)((p→t)→t)((((→()→))∨))(((→))
7093,(r(r∨(¬r)))⊢(r→(r∨s)),r(s∨(¬q))(s∨p)(r→(q∨q))
7094,(r(t→p))⊢(p∨(t→p)),t(s→r)(t∨(s→p))(∨(→))
7095,((r∧(p∨q))(p→p))⊢(s∨(r∧(p∨q))),(q∧(p→q))(p→s)((∨(p→())()∨((→)))
7096,((t∨(q∧t))(r∨(s∧s)))⊢((t∨(q∧t))→(r∨(s∧s))),(s∨(p→q))(r→(r→s))((s∨(p∧p))→(t→(s→s)))
7097,(p(p∧q))⊢((p∧q)→((p∧q)∨r)),p(t∧p)((p∧p)∨q)((s∧p)∧((s∧q)∨t))
7098,(s(¬q))⊢(s∨s),s(¬s)(s∨(¬))
7099,(p(s∨r))⊢(s∨r),q(s∨r)(r∧()∨))(∨)
7100,(((s∧s)∧p)q)⊢(r∨(q∨s)),((s∧p)∧p)s(s∨q)(q∨(q∨q))
7101,(p(r∧(p→q)))⊢(p∧(t∨p)),q(r∧(p→p))(s∨r)(q∧(q∨p))
7102,((s∧p)(s∧(s∧p)))⊢(r∨(s∧p)),(s∧p)(s∧(r∧s))((∧()∧p)())
7103,((s∧(s∧p))(t∧(q→s)))⊢(p∨t),(r→(p∧q))(q∧(s∨s))s(s∨t)
7104,(((r→q)→r)s)⊢(p∨(p∨s)),((t→t)→p)s(s∨s)(t∨(s∨s))
7105,((q∧(¬t))((t∧q)∧t))⊢(t∧q),(q∧(¬q))((s∨()→t)((∧q)
7106,((t∨p)s)⊢(((t∨p)→s)∨q),(t∨p)p((p∨s)→t)(((t∨t)→s)∨s)
7107,(r(s∧q))⊢q,q(s∧q)(
7108,((p∨t)(¬r))⊢(((p∨t)→(¬r))∨t),(s∨q)(¬p)((s→s)→(¬p))((¬q)→((¬∨()∧(¬))))
7109,((s∧q)p)⊢((s∧q)∧((s∧q)∨r)),(r∧q)q((p∧s)∨s)((s∧p)∧((s∧q)∨t))
7110,(s(r∧p))⊢((r∧p)→(t∨(r∧p))),p(q∧p)(p∨(t∧s))((t∧q)∧(r∨(t∧q)))
7111,(r((r∨t)→t))⊢(q∨(r∨r)),q((q∨p)→s)(s∨p)(t∨(s∨s))
7112,((p∧t)q)⊢(r∨((p∧t)∨s)),(r∧p)q((p∧p)∨s)(s∨((t∧q)∨s))
7113,((¬p)(r→q))⊢(p∨(¬p)),(¬s)(p→p)((∨(¬→)))∨()
7114,((¬q)(p→q))⊢((¬q)∧(p→q)),(¬p)(p→p)((¬s)∧(t→s))
7115,((r∨q)(¬t))⊢((¬t)∨r),(s∨q)(¬p)((¬())∨))((¬))∨)
7116,((p∧p)q)⊢q,(t∧q)q(
7117,((¬s)(q∧q))⊢((¬s)→((¬s)∨q)),(¬p)(s∧s)((¬p)∨p)((¬p)∧((¬p)∨s))
7118,((p∨r)(t∨p))⊢((p∨r)∧(r∨(p∨r))),(q∨r)(s∨p)(t∨(s∨s))((t∨p)∧(t∨(p∨s)))
7119,((s→(q→r))t)⊢((s→(q→r))∧t),(t→(p→s))s((t→(p→s))∧p)
7120,(t(r→(q→t)))⊢(t→(t∨p)),r(r→(p→p))(p∨r)(r→(q∨p))
7121,(q(s∧(p→s)))⊢((r∨q)∨q),q(r∧(p→p))(q∨p)((q∨q)∨s)
7122,(p(p∧(q∧q)))⊢(q∧q),q(r∧(p∧p))s(q∧p)
7123,((¬q)((r∨t)∨s))⊢((¬q)∨r),(¬p)((s→t)∨s)((¬()∨()((¬)∨)
7124,(((p→t)∧r)(t∧s))⊢((t∧s)∧(((p→t)∧r)→(t∧s))),((s→t)∧q)(q∧p)(((s∧s)∧()→(q∧())(()→q)∧(((→(t)∧))∧p))t)))
7125,(q((s∧p)∧q))⊢(s∨(q∨q)),q((s∧p)∧p)(q∨p)(q∨(p∨s))
7126,(s((s→t)→r))⊢(((s→t)→r)∨r),p((q→p)→s)(s∨(((→()→∨)→(((r→)→))
7127,((s∧q)(¬q))⊢(q∨q),(s∧q)(¬p)s(t∨s)
7128,(p((q∨s)→r))⊢(p∨(r∨p)),q((q∨p)→s)(s∨p)(t∨(s∨s))
7129,(((¬t)∧t)t)⊢((¬t)∧t),((¬r)∧q)s(¬(¬q)∨))∧))((¬p)∨p)
7130,(p(r→(p∧p)))⊢(t∨(r→(p∧p))),q(r→(p∧p))(r∨()((∨∧t)))∧∨(
7131,((q∧q)t)⊢(t∧(t∨t)),(s∧s)p(p∨p)(q∧(t∨q))
7132,(((p∨q)→q)(q∧s))⊢(q∨t),((q∨p)∧p)(q∧q)q(q∨s)
7133,((p∧q)(p∨q))⊢(p∨p),(q∧p)(p∨p)((s∨q)
7134,(((t∧s)→q)r)⊢(((t∧s)→q)∧(((t∧s)→q)∧r)),((s∧r)∧q)r(((s∧t)∧r)→t)(((s∧r)∧q)∧(((p∧p)∧p)→p))
7135,(((r∧q)∨t)q)⊢(s∨((r∧q)∨t)),((s∧p)∨s)s((((∧p∧∨))∧))(∨((q∧)))
7136,((p∧(q→r))(¬p))⊢((¬p)∨t),(r→(q→q))(¬s)((¬s)(())))
7137,((s∧(¬q))t)⊢((s∧(¬q))∨s),(s∧(¬q))s((t∧(¬())∨q)(
7138,((q∧(r∧t))q)⊢(s∨q),(r∧(p∧t))s((∨∨))
7139,(((r→r)∧q)s)⊢(s∧q),((p→t)∧p)sq(p∧p)
7140,(r(s∨(¬q)))⊢((s∨(¬q))→(r→(s∨(¬q)))),q(s∨(¬q))(q∨((¬(¬s)))((s∨(¬q))∧(q∨((∨(¬s))))
7141,((q∨q)s)⊢((q∨q)∨p),(t∨q)q((∨∨)((t∨)∨∨)
7142,((p∨(p→q))(t∧q))⊢((t∧q)∧t),(s∨(p→q))(p∧s)q((p∧p)∧p)
7143,(q(q∧p))⊢(q∧(p∨q)),t(s∧p)(t∨p)(q∧(q∨p))
7144,((s∧r)(¬p))⊢(p∨(¬p)),(s∧q)(¬p)((∨(¬∧)))
7145,(p(q→p))⊢(p∧(p∨p)),t(s→p)(t∨p)(q∧(t∨p))
7146,(((¬r)→p)(q∧q))⊢((q∧q)∨r),((¬r)∨q)(t∧q)(((∧∧)∨)))(∧)
7147,(t(q∧p))⊢(t∧(q∧p)),p(p∧s)(q∧(r∧p))
7148,((¬p)(s∧t))⊢((s∧t)→((s∧t)∨r)),(¬p)(p∧p)((p∧s)∨t)((s∧p)∧((s∧p)∨s))
7149,(q(s∧(p→s)))⊢((q∨t)∨q),p(r∧(p→p))(q∨p)((q∨q)∨s)
7150,((q∨(r∨r))(t∧r))⊢((q∨(r∨r))∧((q∨(r∨r))→(t∧r))),(s∨(p→q))(s∧s)((p∨(s→s))(()→)))((s∨(q∧p))∧((q∨(s→s))∧()∧))))
7151,((s∨(p→q))(p→p))⊢(q∨(p→p)),(s∨(p→q))(p→s)((∨((→∨)))())
7152,((q→(¬s))((t∧t)→p))⊢(p∨(q→(¬s))),((∨(¬q))((s∨r)→s)(s∨((∧()))))))
7153,(r(s→(p∨q)))⊢(t∨(s→(p∨q))),r(t→(p∨s))(r∨()∨(∨∨s)))∨∨)))))
7154,((s∨(t→t))s)⊢(s→(t∨s)),(t∨(p→q))s(s∨s)(t→(q∨p))
7155,((q∧q)r)⊢((q∧q)∨p),(s∧s)q((t∧p)∨r)(()∨)
7156,((t∨q)(r→t))⊢((r→t)∨p),(q∨s)(p→p)((∨→p)∨))((r→p)∨t)
7157,((t∨t)s)⊢(r∨(t∨t)),(t∨q)p(p∨()(t∨((∨∨))
7158,((r∨(q∨q))(q∨p))⊢((q∨p)∨t),(s∨(p∨q))(p∨s)((∨∨()∨p)((∨)∨)
7159,((r∨(t∧q))(s∨(¬q)))⊢((s∨(¬q))∨p),(s∨(q→s))((¬(¬s))((∨∨(¬())))))(()))∨
7160,(((s→t)∧q)p)⊢(s∨(t∨p)),((t→t)∧t)s(s∨s)(t∨(p∨q))
7161,(q(t→q))⊢(r∨q),q(t→s)(t∨()→))(∨)
7162,(r(s∧(q∨s)))⊢(r∧(q∨s)),p(r∧(p∨s))(s∨r)(s∧(s∨t))
7163,(q((s∧s)∨t))⊢(q∨p),p((p∧t)∨s)(s∨q)(∧∨))
7164,((¬s)(r→r))⊢((¬s)∨t),(¬s)(s→p)((¬()∨∨))((¬)
7165,((q∨q)r)⊢(s∨r),(s∨p)p((∨∨))∨))
7166,(r(t∧t))⊢(r∧(s∨r)),t(s∧p)(t∨p)(q∧(p∨p))
7167,((t∧p)s)⊢((r∨s)∨t),(q∧s)p(t∨p)((t∨t)∨s)
7168,((s∧(¬p))r)⊢(s∧(¬p)),(s∧(¬q))s((q∧(¬∧))∧))∧
7169,((¬q)(t∧p))⊢((¬q)→p),(¬p)(q∧t)q((¬q)→q)
7170,(t(t→p))⊢(t∨r),q(s→p)(t∨()→))(∨)
7171,((p∧s)(¬q))⊢((¬q)∨q),(s∧q)(¬p)(((¬))∨))(¬
7172,(((s∧s)∨q)r)⊢(r→(r∨t)),((s∧p)∨s)s(s∨s)(t→(t∨q))
7173,((¬t)(s∧(¬t)))⊢((¬t)→(¬t)),(¬s)(s∧(¬q))(¬p)((¬∧)→(¬p))
7174,((¬t)(r∨t))⊢(s∨(r∨t)),(¬p)(s∨s)((∨()∨)))(∨((∨∨))
7175,(((r→t)→q)((r∧t)∨p))⊢(((r→t)→q)→(t∨((r→t)→q))),((p→t)→q)((→(r)∨))(s∨((∨((∨∨)))(((t∧r)∨q)∧(q∨((∨∨()))))))
7176,((q∧t)((¬r)∧s))⊢((q∧t)∧t),(s∧p)((¬r)→s)((r∧∧)∧((¬p))))((¬∧))∧)
7177,((p→(¬q))p)⊢(¬q),(s∧(¬q))s(¬q)
7178,((r∧t)p)⊢((r∧t)∧r),(p∧s)qt((r∧t)∧q)
7179,(q(s∧(¬s)))⊢(q∨q),q(s∧(¬q))((∨()
7180,(((r∨p)∨q)(p∧t))⊢((p∧t)∨t),((q∨p)∨q)(t∧p)(((∧∧q)∨))∧
7181,((s→p)(s∧(¬q)))⊢((¬q)∨r),(s→q)(s∧(¬q))((s)((∨)))
7182,(((s∧q)∧p)t)⊢(((s∧q)∧p)∧t),((s∧p)∧q)s(((t∧q)∧p)∧s)
7183,(((s→t)∧q)(¬q))⊢(s→t),((s→q)∧q)(¬q)((¬q→)
7184,((s→(¬p))s)⊢(q∨s),(s→(¬q))s((∨s)(∨)
7185,(s(s∧t))⊢(t∨r),q(s∧q)((∨∨))
7186,(((¬r)∧s)s)⊢(s∧s),((¬r)∧q)sq(t∧s)
7187,(r((t∨r)∨q))⊢(((t∨r)∨q)∨t),p((s∨p)∨s)(s∨((t∨()∨∨))(((r∨)∨)∨)
7188,((p→(s∧p))(r→q))⊢((p→(s∧p))∨q),(s→(p→q))(p→s)((s→(∧∨s)((t→(→s))∨)
7189,((p→s)p)⊢(p∨(p→s)),(q→p)p((∨→))∨))(∨(→))
7190,((s∨r)(p∨r))⊢(p∨(t∨(s∨r))),(q→s)(p∨p)(t∨(p∨r))(s∨(p∨(p∨p)))
7191,((s→r)(p→(s→p)))⊢((s→r)∨s),(s→p)(s→(r∧p))((∨→r)∨t)((t→)∨)
7192,((s∧r)(r→(s∧t)))⊢((s∧r)∧(r→(s∧t))),(s∧p)(s∧(r∧p))((s∧p)∧(s∧(r∧s)))
7193,((q∨p)t)⊢(t∧(q∨t)),(t∨p)p(p∨p)(q∧(t∨p))
7194,((p∨r)r)⊢((s∨r)∨p),(t∨q)q((∨∨)((t∨()∨∨)
7195,(((p∨t)∧p)(p∧s))⊢(p∨(p∧s)),((q∨p)∧q)(p∧q)((∨∨(∧∧)))
7196,((r∧q)t)⊢(t∨(r∧q)),(p∧s)t((∨(p)∧))(∨()
7197,(p(p∧(q∧q)))⊢((q∨p)∨q),q(r∧(p∧p))(q∨p)((q∨p)∨s)
7198,(s(t∧(p∨t)))⊢(s∨s),p(r∧(p∨s))((∨∨))
7199,((¬s)(p∨p))⊢((¬s)∧((¬s)→(p∨p))),(¬p)(s∧s)((¬s)→(¬∨s))((¬s)∧((¬q)∧(¬))))
7200,(p(r∨q))⊢((r∨q)∧((r∨q)∨r)),p(s∨s)((p∨s)∨r)((t∨s)∧((p∨p)∨s))
7201,((r∧t)(r→s))⊢(p∨((r→s)∨s)),(q∧p)(p∧p)((s∧p)∨p)(p∨((s∧p)∨p))
7202,(t(r∧p))⊢(p∨r),q(s∧p)((∨∨))
7203,(q(q∨(r∨t)))⊢(q∧(q∨q)),r(s∨(t→q))(t∨r)(s∧(t∨p))
7204,((¬r)((p∧q)∨t))⊢(¬r),(¬p)((s→t)→s)((¬p)∧((s→s)→r))(¬s)
7205,(s(¬r))⊢((¬r)→(s∨(¬r))),r(¬s)(t∨(¬p))((¬p)∧(q∨(¬s)))
7206,((t→p)(t∧(¬p)))⊢(t→p),(s∨q)(t∧(¬q))((s→r)∧(r∧(¬s)))(s→p)
7207,((t→s)t)⊢((s∨t)∨p),(t→s)p(t∨s)((t∨t)∨s)
7208,(r(q→r))⊢(p∨(q→r)),t(s→r)(t∨(s→p))(∨(→))
7209,(r(¬t))⊢(¬t),s(¬s)(t∧(¬p))(¬p)
7210,((s∧(¬t))s)⊢((¬t)∨t),(s∧(¬q))s(¬q)((¬p)∨s)
7211,(q(p∨(p→r)))⊢((p∨(p→r))∨t),r(s∨(p→p))(r∧((((s→()))((∨∨(→))∨)
7212,(r(t∧(r∧r)))⊢((t∧(r∧r))→(r→(t∧(r∧r)))),q(r∧(p∧p))(p∧(r∧(r∨r)))(((∧(r∧p))∧(q∨((∧(s∧s))))
7213,(((s→q)∧t)p)⊢p,((p→t)∧p)p(((t→p)∧p)∧p)s
7214,(t(s∧p))⊢((s∧p)→(t→(s∧p))),p(s∧p)(p∧(t∧s))((t∧q)∧(r∨(t∧q)))
7215,((p∧(q→r))(¬p))⊢((¬p)→(r∨(¬p))),(r→(q→q))(¬q)(s∨(¬p))((¬p)∧(s∨(¬s)))
7216,(q(s∧(¬s)))⊢(q→(¬s)),q(s∧(¬q))(¬q)(p→(¬p))
7217,((p→r)((r→t)∧r))⊢(q∨(p→r)),(q→p)((p→t)∧s)((∨()(→)))
7218,(s(t∨(t∨t)))⊢(s∧(t∨(t∨t))),r(s∨(t∨s))(t∧(r∨(q∨s)))
7219,((r∨(q→q))(p∧s))⊢(p∧s),(s∨(p→q))(p∧q)((s∨(t∧q))∧(p∧p))(s∧q)
7220,((q∧(q∧q))p)⊢(p→q),(r∧(p∧q))s((q→))
7221,(s(s∧(t→r)))⊢(p∨s),q(r∧(p→p))((∨∨))
7222,(s((t→r)∨t))⊢(s∨s),p((q→t)∨s)(s∨()(→∨))
7223,(t(r→(p→r)))⊢(t∨(t∨t)),r(r→(p→p))(q∨p)(t∨(q∨s))
7224,(((r∧s)∨r)r)⊢(t∨((r∧s)∨r)),((s∧p)∨s)s((((∧p∧∨))∧))(∨((∧)))
7225,(((t∧t)∨s)t)⊢(t∧(t∨q)),((s∧p)∨s)s(s∨s)(s∧(t∨t))
7226,((s∧(r→s))r)⊢((r→s)∨t),(r∧(p→q))s(t→t)((s→t)∨q)
7227,((t∧r)(¬s))⊢(r∨t),(s∧q)(¬p)s(t∨s)
7228,(((r∧s)∨t)r)⊢(p∨r),((s∧p)∨q)s((∨r)()∨)
7229,(r(p∧s))⊢((p∧s)∧s),p(s∧t)s((t∧q)∧p)
7230,(q((¬s)∨r))⊢(s∨q),q((¬r)∨s)(s∨()¬∨)
7231,(((r→t)→q)t)⊢t,((t→r)→p)s(((t→r)→r)∧s)s
7232,((s∨(s∨t))t)⊢(s∨t),(t∨(p∨s))s((∨∨)(∨∨)
7233,(r(s∨s))⊢((s∨s)∧((s∨s)∨q)),p(s∨s)((p∨s)∨r)((t∨s)∧((p∨p)∨s))
7234,((s∧(¬t))t)⊢(r∨t),(s∧(¬q))s((∨∨)(
7235,(((r∧r)∨r)q)⊢(q∨t),((s∧p)∨q)s((∨r)()∨)
7236,((t∧(s∨t))p)⊢((p∨t)∨q),(r∧(p∨s))s(t∨s)((q∨p)∨s)
7237,((p∨q)(s∨(¬s)))⊢((t∨(p∨q))∨t),(s∨q)(s∨(¬q))((∨∨p)∨))(((∨()∨∨)∨∨)
7238,((s∧t)(p→p))⊢((p→p)∨p),(q∧p)(p→p)((∨→p)∨))((→)∨)
7239,(t(r∧(r→t)))⊢(r∨t),q(r∧(p→p))((∨∨))
7240,((r∧(¬q))(q∧p))⊢(r∨p),(s∧(¬q))(q∧q)q(s∨s)
7241,(((t∧r)∨p)r)⊢(r→(r∨q)),((s∧p)∨s)s(s∨s)(t→(t∨q))
7242,((t∨q)q)⊢(s∨q),(s∨p)p((∨∨))))
7243,((q∧r)(t∨r))⊢(q∧r),(q∧p)(p∨r)((s∧p)∧(p∨p))(p∧p)
7244,((p∧(¬t))p)⊢(r∨(¬t)),(s∧(¬q))s(¬q)(p∨(¬p))
7245,((s→t)r)⊢((s→t)∧(q∨(s→t))),(t→s)p(p∨(p→p))((t→s)∧(t∨(t→s)))
7246,(((r∧r)∨r)r)⊢(r∧(s∨r)),((s∧p)∨s)s(s∨s)(s∧(t∨t))
7247,((t→s)(p∧q))⊢(p∧q),(s→s)(s∧p)((s→p)∧(t∧p))(s∧p)
7248,((t→t)q)⊢(((t→t)∧q)∨r),(s→s)q((t→p)∧t)(((t→t)∧s)∨s)
7249,((¬q)(¬p))⊢((¬q)∨q),(¬s)(¬p)((¬()∨))((¬)∨)
7250,((r∧q)t)⊢(q∨(r∧q)),(s∧s)s((∨(p)∧))(∨()
7251,(((s→q)→p)p)⊢(((s→q)→p)∨q),((t→t)→q)s(((t→()→t)∨))(((r→)→)∨)
7252,((r→r)((s∨q)∨t))⊢(p∨((s∨q)∨t)),(q→p)((p→t)∨t)((s→()∨r)(t∨((r→)∨∨))
7253,((t∨p)p)⊢(r∨p),(s∨p)p((∨∨)))(
7254,((q∧p)t)⊢(q∨t),(t∧q)q((∨∨))
7255,(q(r→r))⊢(q∨q),q(t→s)(q∨()→))(∨)
7256,(p((r→t)∨s))⊢(s∨((r→t)∨s)),p((p→p)∨s)(s∨((s→∨)∨p))(∨(()∨))
7257,((¬p)((r→r)→q))⊢(((r→r)→q)∨r),(¬p)((s→t)∨t)((∨(→s))()())))
7258,(((p∨p)∨s)t)⊢(((p∨p)∨s)→t),((q∨p)∨s)s(((t∨t)∨t)→s)
7259,(t(q→t))⊢(r∨(r∨t)),t(s→p)(t∨p)(t∨(q∨q))
7260,(s((s→t)→r))⊢(s→((s→t)→r)),q((p→p)→s)(q→((s→p)→r))
7261,(p((p→p)→s))⊢(r∨p),q((q→p)→r)(s∨()(→∨))
7262,(((p∨s)∧r)t)⊢(t∨p),((q∨p)∧t)s((∨∨))
7263,(r((¬r)∨s))⊢(r→(r∨t)),r((¬r)∨s)(s∨p)(q→(q∨q))
7264,(t(t∧q))⊢(t∧(p∨t)),t(s∧p)(t∨p)(q∧(q∨p))
7265,(t((r∨t)∧p))⊢(t∨p),q((q∨p)∧p)((∨∨)
7266,(t(t∧(t→r)))⊢(t∧(t→(t∧(t→r)))),q(r∧(p∧p))(r∧(s∧(r∧r)))(s∧(r∧(r∧(s∧q))))
7267,(t(s→(p∨r)))⊢(t∧(t∨p)),r(t→(p∨s))(s∨r)(s∧(t∨t))
7268,(p(r∧(p→q)))⊢(p∧(p→q)),q(r∧(p→p))(q∧()∧(q→t)))(∧())
7269,(r(q∨(r∧p)))⊢(p∨(s∨r)),r(s∨(r∧p))(p∨p)(s∨(q∨q))
7270,((s∨t)(r∧s))⊢(s∨t),(q∨q)(p∧p)((s∨s)
7271,(((r∧r)∨p)t)⊢(r∨(t∨s)),((s∧p)∨q)s(s∨s)(t∨(s∨s))
7272,(t(p∧t))⊢(t→(p∨t)),t(s∧p)(t∨p)(q→(q∨q))
7273,((s∨r)r)⊢((s∨r)∧r),(p∨p)s((t∨p)∧p)
7274,(q((q→r)∧t))⊢(q∨q),q((q→p)∧p)((∨∨)(
7275,((t∧(t→t))s)⊢(s∧(s∨s)),(r∧(p→s))s(s∨r)(s∧(t∨s))
7276,(t(q→s))⊢(t∨s),q(t→s)(q∨()→))(∨)
7277,(q(s∧t))⊢(p∨(q∨p)),t(s∧p)(p∨p)(t∨(q∨q))
7278,(s(p∧s))⊢(s∨p),q(s∧p)((∨∨))
7279,((r∨(¬p))p)⊢(p∨p),(q∨(¬q))s((∨∨)¬∨))∨
7280,(q(r→q))⊢(((r→q)∨s)∨t),t(t→s)((p→p)∨r)(((t→t)∨t)∨t)
7281,((s→q)(¬t))⊢((s→q)∨q),(s→q)(¬p)((s→p)∨))((∨)∨)
7282,((q∧r)(t∨r))⊢((t∨r)∨q),(q∧p)(p∨p)((∨∨p)∨))(()∨)
7283,((s→(s∧t))t)⊢(r∨t),(r→(p∧p))s((∨s))
7284,((r∨q)(q∧p))⊢((q∧p)∧q),(s∨q)(p∧s)q((p∧q)∧q)
7285,((s∨p)((s∨p)∨s))⊢(((s∨p)∨s)∨t),(q∨p)((p→t)→t)((s∨p)∨()((()∨s)∨s)∨s)
7286,((q→(p→p))s)⊢(s∨(q→(p→p))),(t→(p→s))s((∨((→→t))→))(t∨(→(→)))
7287,(((t→t)∧s)q)⊢(q→(q∨r)),((t→t)∧t)s(s∨s)(q→(q∨q))
7288,((r∧s)(¬p))⊢(r∧s),(s∧q)(¬p)((s∧q)∧(¬p))(s∧p)
7289,(q(t→(q∨q)))⊢(q∧(t→(q∨q))),r(t→(p∨s))(p∧(r∨(r∨s)))
7290,(((t→q)∧t)s)⊢(r∨(s∨q)),((t→t)∧t)s(s∨t)(t∨(p∨q))
7291,(s((s→s)∨q))⊢(((s→s)∨q)∨q),p((p→t)∨s)(s∨((t→()∨∨))(((r→)∨)∨)
7292,((q∧(s∨t))(q→q))⊢(r∨q),(r∧(p∧q))(p∧q)q(q∨s)
7293,(q((q∧r)→s))⊢((q∨q)∨t),q((p∧t)→s)(s∨p)((q∨t)∨s)
7294,((t→p)q)⊢((t→p)→((t→p)→q)),(t→s)q((t→s)∨s)((s→p)∧((s→s)→t))
7295,(r(t∧q))⊢(p∨r),q(s∧p)((∨∨))
7296,(((t→t)→r)s)⊢(s→(s∨t)),((t→t)→p)s(s∨s)(t→(t∨q))
7297,(((t→t)∧s)(q∧s))⊢((q∧s)∨q),((p→t)∧q)(s∧q)(((∧∧q)∨))∧
7298,((t→q)t)⊢(q∨(t→q)),(q→p)p((∨→))∨))(∨(→))
7299,(((s∨p)∨s)(r∨q))⊢(p∨(r∨q)),((q∨p)∨q)(p∨s)((∨((∨∨)))∨)()
7300,(((p∨p)→s)p)⊢((t∨p)∨p),((q∨p)→p)s(s∨s)((p∨t)∨s)
7301,((t→(s→p))p)⊢(s∨p),(t→(p→s))s((∨→)(→∨))
7302,(((s∨q)∧p)(r∨r))⊢((r∨r)→p),((q∨p)∧q)(q∧s)(((p∨p)→p)
7303,(((s∨q)∧p)(r∨r))⊢(p∨(r∨r)),((q∨p)∧q)(q∨s)((∨∨((∨∨)))
